PassengerId,Survived
623,0
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,0
654,1
655,1
656,0
657,0
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,0
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,0
795,0
796,0
797,1
798,1
799,0
800,1
801,0
802,1
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,1
811,0
812,0
813,0
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,0
830,1
831,1
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,0
870,0
871,0
872,1
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,1
882,0
883,1
884,0
885,0
886,1
887,0
888,1
889,1
890,0
891,0
